ABAD| abad. m y f. El que dirige una abadía o monasterio.
ALFORJA| alforja. f. Especie de bolsa abierta en el centro, que forma dos bolsas que se llevan al hombro.
ALFORZA| alforza. f. Doblez o pliegue en las prendas. fig. Cicatriz.
ALGA| alga. f. Planta acuática, sin flor.
ÁLGEBRA| álgebra. f. Parte de las matemáticas que trata de la cantidad considerada en general y la representa por letras y otros signos.
-ALGIA| -algia. Afijo que significa dolor y entra en la formación de palabras. álgido  álgido, da. adj. Muy frío. En Med., acompañado de frío glacial.
ALGO| algo. Pron. indet. con que se designa lo que no se puede o quiere nombrar.  Cantidad pequeña.
ALGODÓN| algodón. m. Planta textil y oleaginosa.  Borra que envuelve a las semillas. Tejido de esta borra.
ALGUIEN| alguien. Pron. indet. con que se significa a una persona.  Persona de importancia.
ALGÚN| algún. adj. Apócope de alguno.  Se emplea antes de nombres masculinos: algún hombre, algún tiempo. alguno  alguno, na. Adj. que se aplica a una persona o cosa con respecto a otras.  Bastante.
ALHAJA| alhaja. t. Joya. Adorno o mueble preciosos.  Persona o animal de excelentes condiciones.
ALHELÍ| alhelí. f. Planta de jardín, de flor amarilla y otros colores. aliado  aliado, da. p. p. de aliar.  adj. Persona a quien uno se ha unido.
ALIANZA| alianza. f. Acción de aliarse personas o países. Pacto. Anillo matrimonial. aliar  aliar tr. Poner de acuerdo y reunir para un fin.
ALIAS| alias. adv. latino. De otro modo, por otro nombre. alicaído  alicaído, da. adj. Caído de alas. Débil. Triste.
ALICATE| alicate. m. Tenacilla de acero de brazos encorvados y puntas cuadran gulares para torcer alambres y otros usos.
ALIENTO| aliento. m. Acción de alentar.  Aire que se respira.  Vigor del ánimo. aligerar  aligerar tr. Hacer más ligero. Aliviar.
ALIMAÑA| alimaña. f. Animal dañino.
ALIÑO| aliño. m. Acción de aliñar. Lo que sirve para aliñar a una per sona o cosa. Condimento. alisar  alisar tr. Poner lisa alguna cosa. alíscafo  alíscafo; aliscafo. m. Embarcación hidrodinámica para transporte de pasajeros y carga.
ALISIOS| alisios. adj. Vientos fijos que soplan de la zona tórrida, con inclinación del Nordeste al Sudeste, según el hemisferio. alistar  alistar tr. Anotar en lista. Disponer.  Entrar en la milicia. aliviar  aliviar tr. Disminuir la carga, el pesar.
ALIVIO| alivio. m. Acción de aliviar.
ALJABA| aljaba. f. Caja portátil para llevar flechas.
ALJAMÍA| aljamía. f. Nombre dado por los moros a la lengua castellana.  Texto español en letra arábiga.
ALJIBE| aljibe. m. Cisterna para el agua de lluvia.
ALLÁ| allá. adv. Lugar menos determinado que allí.  En el otro mundo.
ALLANAR| allanar. tr. Poner llana una superficie de terreno u otra cosa. Vencer una dificultad. Pacificar.  Facilitar. Entrar a la fuerza en casa ajena. allegado  allegado, da. adj. Cercano, próximo.  Pariente.  Partidario. allegar  allegar tr. Recoger o juntar.  Arrimar.  Agregar, añadir.
ALLENDE| allende. adv.  De la parte de allá.
ALMA| alma. f. Sustancia espiritual e inmortal. capaz de entender, querer y sentir, que informa al cuerpo humano y junto con él constituye !a esencia del ser humano. Persona, habitante, individuo. Parte principal de una cosa.
ALMACÉN| almacén. m. Local donde se guardan o venden mercancías.
ALMADÍA| almadía. f. Especie de embarcación hecha con tron cos.
ALMEJA| almeja. f. Molusco de carne comestible.
ALMENA| almena. f. Diente de un muro de fortaleza.
ALMÍBAR| almíbar. m. Azúcar disuelto en agua, cocido y espesado. almibarar  almibarar tr. Cubrir con almíbar.  Hablar con dulzura.
ALMIDÓN| almidón. m. Fécula, especialmente de los cereales. almidonar  almidonar tr. Mojar la ropa con almidón.
ALMINAR| alminar. m. Torre de mezquita desde donde el almuédano convoca a los mahometanos en las horas de la oración.
ÁLOE| áloe. m. Planta de jugo amargo.
ALOJA| aloja. f. Bebida de agua, miel y especias. Arg. Bebida hecha con algarrobas.
ALOJAR| alojar. tr. Hospedar.  Colocar una cosa dentro de otra.
ALONDRA| alondra. f. Pájaro de color pardo en el lomo y blanco sucio en el vientre. Mide 15 a 20 cm de largo; su cola es ahorquillada. alongar  alongar tr. Alargar, hacer más larga o duradera una cosa.
ALPACA| alpaca. f. Mamífero rumiante propio de América del Sur. Variedad doméstica de la vicuña.  Pelo de este animal. Paño hecho con este pelo. Metal blanco.
ALPISTE| alpiste. m. Planta cuyas semillas sirven de alimento a pájaros.
ALTA| alta. f. Danza antigua.  Orden que se da a un enfermo para indicar que ya está sano. Ingreso de una persona a una institución.
ALTAVOZ| altavoz. m. Aparato que aumenta los sonidos.
ALTERAR| alterar. tr. Cambiar la esencia o forma de una cosa.  Perturbar. trastornar.  Estropear. dañar, descomponer. altercar  altercar intr. Disputar. Porfiar.
ALTILLO| altillo. m. Arg. Desván. Cuarto pequeño en los altos de una casa donde se guardan cosas.
ALTITUD| altitud. f. Altura. Dimensión de un cuerpo perpendicular a la base.
ALTIVEZ| altivez. f. Orgullo, soberbia. alto  alto, ta. adj. Levantado.  Más elevado. Excelente.
ALTURA| altura. f. Elevación de un cuerpo sobre la superficie terrestre.  Dimensión de los cuerpos perpendicular a la base. fig. Alteza, excelencia.
ALUBIA| alubia. f. Judía.
ALUD| alud. m. Gran masa de nieve que se derrumba.  Lo que se precipita en cantidad. aludir  aludir intr. Referirse a personas o cosas sin mencionarlas.
ALUSIÓN| alusión. f. Acción de aludir.
ALUVIÓN| aluvión. f. Avenida fuerte de agua o inundación.  fig. Cantidad grande de personas. alveolo  alveolo o alvéolo. m. Celdilla de un panal. Fositas donde terminan los bronquios y que forman el pulmón.  Cavidad donde están los dientes.
ALZA| alza. f. Aumento de precio de alguna cosa.
ALZADA| alzada. f. Altura del caballo desde el rodete del talón de la mano hasta la parte más elevada de la cruz.
ALZAR| alzar. tr. Levantar.  Mover hacia arriba.  Elevar la hostia y el cáliz después de la consagración.  Quitar o llevarse alguna cosa.
AMA| ama. f. Señora o cabeza de la casa. de leche, mujer que cría a sus pechos a una criatura ajena. de llaves, que cuida de la economía de una casa.
AMABLE| amable. adj. Digno de ser amado.  Afable, cariñoso. amado  amado, da. p. p. de amar.  m. y f. Persona amada. amaestrar  amaestrar tr. Enseñar o adiestrar. amagar  amagar tr. Dejar ver la intención de hacer algo. intr. Estar próximo a sobrevenir. Empezar a manifestarse síntomas de enfermedad. amainar  amainar tr. Recoger las velas de un barco.  intr. Tratándose del viento, aflojar, perder su fuerza.. Ceder un deseo.
AMANCAY| amancay. m. Planta sudamericana, especie de narciso amarillo. Es común en los Parques Nacionales del sur de la República Argentina.
AMANSAR| amansar. ir. Hacer manso a un animal.  Domesticarlo.  Sosegar, apaciguar.
AMANTE| amante. p. a. de amar. Que ama.  m. pl. Amantes. Hombre y mujer que se aman. m. y f. Que mantienen relaciones ilícitas.
AMAPOLA| amapola. f. Planta silvestre, de flor roja. que crece en los sembrados. Es sudorífica y sus semillas se emplean en medicina. amar  amar tr. Tener amor a personas o cosas.  Desear.
AMARGAR| amargar. intr. Tener alguna cosa gusto o sabor desagradable. Causar aflicción o disgusto. amargo  amargo, ga. adj. Que amarga.  fìg. Que está afligido o disgustado. Arg. y Urug. Cimarrón, mate sin azúcar.
AMARRA| amarra. f. Correa de los caballos. Cuerda para asegurar una embarcación. amarrar  amarrar tr. Atar y asegurar por medio de cuerdas.
AMASAR| amasar. tr. Formar una masa con harina, o yeso, o tierra, etc., mezclada con agua u otro líquido.  Unir, amalgamar. Disponer bien las cosas para lograr lo que se quiere.
AMASIJO| amasijo. m. Porción de harina amasada para hacer el pan. Porción de masa hecha con otras sustancias.  Obra, tarea.  Mezcla de ideas diferentes que causan confusión.
AMAZONA| amazona. f. Mujer que monta a caballo.  Mujer guerrera, de ánimo varonil.
AMBAGES| ambages. m. pl. Rodeos o caminos.  Rodeo de palabras.
ÁMBAR| ámbar. m. Resina fósil que se emplea en collares, boquillas, etc. Perfume delicado.
ÁMBITO| ámbito. m. Contorno de un espacio. Espacio entre límites.
AMBO| ambo. m Traje masculino compuesto de chaqueta y pantalón. ambos  ambos, bas. adj. pl. El uno y el otro.  Los dos. ambrosía  ambrosía o ambrosia. f. Según la mitología, alimento de los dioses.  Cosa valiosa para el espíritu.  Planta de la familia de las compuestas, de flores amarillas, en ramillete, y de olor suave.
AMEBA| ameba. f. Animal formado por una sola célula. Se conocen multitud de especies. La mayoría es parásita. amedrentar  amedrentar tr. Infundir miedo.  Asustar.
AMÉN| amén. Voz que se usa al fin de las oraciones de la Iglesia. Significa así sea  Así es.  Se usa para manifestar vivo deseo de que se haga lo que se dice. adv. Excepto, a excepción.  adv. c. A más; además.
AMENAZA| amenaza. f. Acción de amenazar. Dicho o hecho con que se amenaza.
AMIANTO| amianto. m. Mineral usado para tejidos incombustibles.
AMIGOTE| amigote. m. Compañero habitual de diversiones, generalmente poco recomendables.
AMISTAD| amistad. f. Afecto personal puro y desinteresado que se fortalece con el trato.  Merced, favor. Afinidad.
ANCA| anca. m. Cada una de las mitades posteriores de los animales.
ANCHOA| anchoa. f. Pez comestible de gran valor alimentario.  Boquerón que se prepara en salmuera. ancho  ancho, cha. adj. Que tiene anchura.  Holgado.
ANCHURA| anchura. f. Calidad de ancho. Latitud. Libertad, soltura. anchuroso  anchuroso, sa. adj. Muy ancho y espacioso.
ANCLA| ancla. f. Instrumento de hierro con que se sujeta la nave al fondo del mar.
ÁNCORA| áncora. f. Ancla. Lo que puede servir de amparo. andador  andador, ra. adj. Que anda mucho o con velocidad. m.  Aparato que los niños usan para aprender a caminar. andaluz  andaluz, za. adj. Natural de Andalucía (España).
ANDAMIO| andamio. m. Armazón de tableros horizontales sostenidos en puentes o de otra manera usados en la construcción.  Tablado de plazas para ver algo.
ANDANTE| andante. p. a. de andar.  Que anda. En música, movimiento lento.
ANDANZA| andanza. f. Caso o suceso.  Correría.
ANDAR| andar. intr. Ir de un lugar a otro, dando pasos.  Funcionar una máquina. andariego  andariego, ga. adj. Que anda mucho.
ANDAS| andas. f. pl. Tablero que sirve para conducir efigies, personas, etc.
ANDÉN| andén. m. Acera de estación o puerto para andar los viajeros.
ANDRAJO| andrajo. m. Pedazo de ropa muy usada.
ANEGAR| anegar. tr. Ahogar en agua.  Inundar.  Abrumar, molestar. anejo  anejo, ja. adj. Agregado a otro, con dependencia de él. Anexo
ANEMIA| anemia. f. Falta de glóbulos rojos en la sangre.
ANEXAR| anexar. tr. Unir o agregar. anfi-  anfi- prep. insep. que significa alrededor anfibio  anfibio, bia. adj. Lo que puede vivir en tierra o sumergido en agua.  Vehículo que puede andar en tierra y agua.  Zoolog. m. Batracio.
ÁNFORA| ánfora. f. Cántaro alto con dos asas.
ÁNGEL| ángel. m. Espíritu celeste criado por Dios para su ministerio según la teología.  Ser espiritual.  Persona muy buena
ANGINA| angina. f. Inflamación de las amígdalas o de éstas y de la faringe.  de pecho. Acceso súbito con angustia de muerte y dolor violento desde el esternón hasta el brazo izquierdo.
ANGUILA| anguila. f. Pez comestible. Su cuerpo es cilíndrico, de casi un metro. Vive en los ríos, pero desova en el mar.
ANGULAR| angular. adj. Perteneciente o relativo al ángulo.
ÁNGULO| ángulo. m. Cada una de las dos porciones de planos limitadas por dos semirrectas que parten de un mismo punto. Figura formada por dos líneas que parten de un mismo punto. Rincón.  Esquina o arista.
ANHELAR| anhelar. intr. Respirar con dificultad. Desear algo con vehemencia.
ANHELO| anhelo. m. Deseo vehemente.
ANIAÑO| aniaño. adv. En el tiempo pasado.
ANIDAR| anidar. intr. Hacer nido las aves.. Habitar.  Existir algo en una persona o cosa.
ANILINA| anilina. f. Sustancia usada para teñir.
ANILLA| anilla. f. Anillo grande para colgar.  pl. En gimnasia, aros de metal para hacer diversos ejercicios.
ANILLAR| anillar. tr. Dar forma de anillo.  Colocar anillos en las patas de las aves.
ANILLO| anillo. m. Aro pequeño usado en los dedos de la mano.  Redondel de la plaza de toros.  Moldura que rodea el fuste de las columnas.
ÁNIMA| ánima. f. Alma del hombre.
ANIMAL| animal. m. Ser orgánico que vive, siente y se mueve por su propio impulso.  adj. Relativo al animal. Perteneciente a la parte sensitiva del ser humano a diferencia de la parte espiritual o racional.
ANIMAR| animar. tr. Vivificar el alma.  Infundir vigor.  Cobrar ánimo.  Dotar de movimiento a cosas inanimadas.
ÁNIMO| ánimo. m. Alma o espíritu.  Energía, valor.
ANO| ano. m. Orificio donde termina el aparato digestivo.
ANOCHE| anoche. adv. En la noche de ayer.
ÁNODO| ánodo. m. Polo positivo de un generador de electricidad.
ANORMAL| anormal. adj. Lo que está fuera de su natural estado. Persona con desarrollo inferior al que le corresponde.
ANSA| ansa. f. Antigua confederación de varias ciudades de Alemania para seguridad y fomento de su comercio. ánsar  ánsar m. Ganso.
ANSIA| ansia. f. Congoja o fatiga que causa gran inquietud. Anhelo. ansiar  ansiar tr. Desear con ansia.
ANTA| anta. m. Mamífero rumiante parecido al ciervo, tan corpulento como el caballo.  f. Menhir. Pilastra de algunos templos o edificios.
ANTE| ante. m. Anta.  Búfalo. Piel de ante, o de otros animales, semejante a ella, adobada y curtida.
ANTE| ante. prep. En presencia de, delante de.  Prefijo (anteayer).  Perú, bebida muy alimenticia; México, postre.
ANTENA| antena. f. Mástil de telégrafo sin hilos y otros aparatos para emitir y recoger ondas eléctricas. Apéndices que tienen en la cabeza muchos insectos.
ANTEOJO| anteojo. m. Instrumento óptico para ver objetos lejanos.  Instrumento óptico con dos cristales y armadura para sostenerlos delante de los ojos y mejorar la visión. antepasado  antepasado, da. adj. Dicho de tiempo anterior a lo pasado.  m. Abuelo o ascendiente.
ANTERA| antera. f. Parte del estambre de las flores que contiene el polen. anterior  anterior adj. Que precede en lugar y tiempo.
ANTES| antes. adv. de t. y I. que denota prioridad. o  que indica preferencia. Se antepone con frecuencia a las partículas de y que. antiácido  antiácido, da. adj. Que neutraliza el exceso de acidez. antiaéreo  antiaéreo, a. adj. Relativo a la defensa contra aviones. anti-  anti- pref. que significa oposición o contrariedad: antisocial antibiótico  antibiótico, ca. adj. Sustancia elaborada por bacterias o mohos que  se usan para combatir a otros microorganismos. La penicilina, la estreptomicina son antibióticos.
ANTIFAZ| antifaz. m. Velo, máscara con que se cubre la cara.
ANTOJO| antojo. m. Deseo vivo y pasajero de alguna cosa.  Lunares y manchas en la piel. antónimo  antónimo, ma. adj. Palabras que expresan ideas contrarias. Son antónimos antes y después; alto y bajo.
ANTRO| antro. m. Caverna, gruta. antropo-  antropo- Elemento que compone muchas palabras y que significa hombre
ANUAL| anual. adj. Oue sucede cada año.
ANUARIO| anuario. m. Libro que se publica cada año. anubarrado  anubarrado, da. adj. Nublado  Pintado, imitando nubes.
ANUDAR| anudar. tr. Hacer uno o más nudos. Juntar, unir.
ANULAR| anular. tr. Dar por nulo o dejar sin fuerza una orden, contrato, . incapacitar, desautorizar. Perteneciente al anillo. I Dedo anular; donde va el anillo.
ANUNCIO| anuncio. m. Conjunto de palabras o signos con que se anuncia algo. Aviso. Pronóstico. anuo  anuo, a. adj. Anual. anuro  anuro, ra. adj. Que carece de cola.  Se dice de los batracios que tienen cuatro extremidades y carecen de cola, como el sapo, la rana.  m. pl. Orden de estos batracios.
ANVERSO| anverso. m. En las monedas y medallas, la parte que se considera principal.
ANZUELO| anzuelo. m. Garfio pequeño donde se pone la carnada para pescar.
AÑEJAR| añejar. tr. Hacer vieja alguna cosa. añejo  añejo, ja. adj. Cosa que tiene uno o más años. Que tiene  mucho tiempo.
AÑICOS| añicos. m. Pedacitos en que se divide algo al romperse.
AÑIL| añil. m. Arbusto del que se saca un tinte azul oscuro.
AÑO| año. m. Tiempo que transcurre durante una revolución real del eje de  la Tierra en su órbita alrededor del Sol. Período de 12 meses , entre el 1 ° de enero y el 31 de diciembre. Período de 12 meses a contar de un día cualquiera.  pl. Día en que alguien cumple años.
AÑORAR| añorar. tr. Recordar con pena la ausencia o falta de una persona o cosa.
AOJAR| aojar. tr. Hacer mal de ojos.  fig. Malograr una cosa.
AORTA| aorta. f. La arteria mayor del cuerpo. Nace en el ventrículo izquierdo del corazón. apabullar  apabullar tr. Confundir, aplastar apacentar  apacentar tr. Dar pasto a los ganados.  fig. Instruir, enseñar.
APACHE| apache. m. Indígena de América del Norte.  fig. Bandido de París y, por ext. de grandes poblaciones.
APAGAR| apagar. tr. Extinguir el fuego o la luz. Disipar rencores. Rebajar los colores de una pintura.
APAGÓN| apagón. m. Extinción pasajera de luz eléctrica. apaisado  apaisado, da. adj. Dícese de lo que es más ancho que alto.
APAÑAR| apañar. tr. Arreglar lo que está roto. Tomar con la mano.  r Recoger y guardar alguna cosa.  Tomar algo sin permiso.  Asear, ataviar.  Abrigar  Darse maña. En la Arg., Perú y Nicar. se usa para encubrir y disculpar a uno. aparador  aparador m. Mueble donde se guarda el servicio de mesa.
